,Unnamed: 0,id,date,text,STANCE,OPINION,POL
0,1,5cb772da884ce419f5ec5257,Tue Apr 16 17:03:11 +0000 2019,"@RealTimeSMU Not just Ferdous, another Bangladeshi actor Gazi Abdun Noor was seen campaigning for TMC candidate Sougata Roy in Dumdum constituency. He was accompanied by senior TMC leaderMadan Mitra during a raod show...\nHow come this had eluded the eyes",0,0,0
1,2,5cb7758f884ce419f5ec55a2,Mon Apr 15 08:25:44 +0000 2019,"Villages that cast 80 per cent votes for the BJP will be placed under category A, and those that cast 60 per cent votes for BJP will be category B, while villages with 50 per cent and below votes for the BJP will be C and D' said @Manekagandhibjp\n\nhttps://t.co/NbpFrRES9W",1,1,1
2,3,5cb775c6884ce419f5ec55df,Wed Apr 17 07:13:42 +0000 2019,Deeply saddened that lumpen goons get prefence in @incindia over those who have given their sweat&amp;blood. Having faced brickbats&amp;abuse across board for the party but yet those who threatened me within the party getting away with not even a rap on their knuckles is unfortunate. https://t.co/CrVo1NAvz2,0,1,0
3,4,5cb77649884ce419f5ec5681,Mon Apr 15 11:08:07 +0000 2019,Ever wondered where BJP &amp; its allies get their inspiration from? Their actions might have seen success in a few places but not in our Dravidian Land. Here is a precious chance to oust them from power &amp; to teach them a lesson on real democracy. Vote wisely. #LokSabhaElections2019 https://t.co/xuBfRoTqex,2,1,2
4,5,5cb779bb884ce419f5ec5ad5,Wed Apr 17 15:05:29 +0000 2019,To all Delhi pollsters Maharashtra will give you big shock on 23 May.\nPS. Just check any raj saheb's speech every speech have 50 times more views than feku and cm fadnvis.\nAnd Raj addressing daily rally at primetime so all media is booked by him\n#LokSabhaElections2019,2,1,2
5,6,5cb77d99884ce419f5ec5e8c,Wed Apr 17 07:19:48 +0000 2019,India is the only Country\n\n*Where a Rapist like Nihalchand becomes MP\n\n*Riot accused Sangeet Som becomes MLA\n\n* Babri accused Uma Bharti becomes Union minister \n\n*Terror Acussed Sadhvi will contest election\n\nand the Irony is All the above people are from Nationalist Party BJP,2,1,1
6,7,5cb77da1884ce419f5ec5e91,Wed Apr 17 16:08:41 +0000 2019,"For those who think BJP has not done enough for Hindus, don't forget what the Congress has done against Hindus for decades, and will certainly do again if given the opportunity. \nRemember Sadhvi Pragya and the false charges of Hindu terror and Saffron terror!",1,1,1
7,8,5cb78ca4884ce419f5ec6069,Wed Apr 17 10:05:26 +0000 2019,"Excerpts from a documentary by the Wire, that tells the story of the men &amp; women PM Modi used in his made for media, ""washing feet"" event. \n\nUnfortunately, other than the photo op, he had no interest or time for the ""mann ki baat"" of those whose feet he washed. https://t.co/yQzhLCHERc",2,1,2
8,9,5cb78ca4884ce419f5ec6274,Wed Apr 17 17:01:16 +0000 2019,"Vote tomorrow. Dont forget the anger you felt during the resort drama, Jallikattu, Chennai floods &amp; relief work appropriated by Amma stickers...those men are in bed with the lynch mob that just gave a terror blast accused a ticket today. Save democracy. Give them all the finger.",0,1,0
9,10,5cb78ca4884ce419f5ec6461,Wed Apr 17 11:42:58 +0000 2019,"Once Ktaka election gets over\nIll be travelling to Madhya Pradesh, just to work for Sadhvi ji\n\nMy entire team of 42 members will work to ensure Sadhvi ji's victory\n\nIt's time to show Digvijay his AUKAAT\nWe will also show how HINDU TERROR looks like\n\nIm coming Sadhvi Ji",1,0,0
