,id,date,text,STANCE,OPINION,POL,cleanText,cleanTextNoPun,hashtags,mentions,NOUN,PROPN,PRON,ADJ,DET,ADP,VERB,ADV,CONJ,INTJ,AUX,SCONJ,finalCleanText,COUNT_NOUN,COUNT_PROPN,COUNT_PRON,COUNT_ADJ,COUNT_DET,COUNT_ADP,COUNT_VERB,COUNT_ADV,COUNT_CONJ,COUNT_INTJ,COUNT_AUX,COUNT_SCONJ,Positive_Score,Negative_Score,Neutral_Score,Compound Score
0,5cb772da884ce419f5ec5257,Tue Apr 16 17:03:11 +0000 2019,"@RealTimeSMU Not just Ferdous, another Bangladeshi actor Gazi Abdun Noor was seen campaigning for TMC candidate Sougata Roy in Dumdum constituency. He was accompanied by senior TMC leaderMadan Mitra during a raod show...\nHow come this had eluded the eyes",0,0,0,"Not just Ferdous, another Bangladeshi actor Gazi Abdun Noor was seen campaigning for TMC candidate Sougata Roy in Dumdum constituency. He was accompanied by senior TMC leaderMadan Mitra during a raod show...\nHow come this had eluded the eyes",Not just Ferdous  another Bangladeshi actor Gazi Abdun Noor was seen campaigning for TMC candidate Sougata Roy in Dumdum constituency  He was accompanied by senior TMC leaderMadan Mitra during a raod show    nHow come this had eluded the eyes,[[]],['@RealTimeSMU'],"['actor', 'candidate', 'constituency', 'leaderMadan', 'show', 'eyes']","['Bangladeshi', 'Gazi', 'Abdun', 'Noor', 'TMC', 'Sougata', 'Roy', 'Dumdum', 'TMC', 'Mitra', 'nHow']",['He'],"['Ferdous', 'senior', 'raod']","['another', 'a', 'this', 'the']","['for', 'in', 'by', 'during']","['seen', 'campaigning', 'accompanied', 'come', 'eluded']",['just'],[],[],"['was', 'was', 'had']",[],ferdous Bangladeshi actor Gazi Abdun Noor see campaign TMC candidate Sougata Roy Dumdum constituency accompany senior TMC leadermadan Mitra raod     nHow come elude eye,69,99,6,29,31,29,56,8,2,2,21,2,0.0,0.0,1.0,0.0
1,5cb7758f884ce419f5ec55a2,Mon Apr 15 08:25:44 +0000 2019,"Villages that cast 80 per cent votes for the BJP will be placed under category A, and those that cast 60 per cent votes for BJP will be category B, while villages with 50 per cent and below votes for the BJP will be C and D' said @Manekagandhibjp\n\nhttps://t.co/NbpFrRES9W",1,1,1,"Villages that cast per cent votes for the BJP will be placed under category A, and those that cast per cent votes for BJP will be category B, while villages with per cent and below votes for the BJP will be C and D' said \n\nhttps://",Villages that cast per cent votes for the BJP will be placed under category A  and those that cast per cent votes for BJP will be category B  while villages with per cent and below votes for the BJP will be C and D' said  n nhttps   ,[[]],['@Manekagandhibjp'],"['Villages', 'cent', 'votes', 'category', 'cent', 'votes', 'category', 'B', 'villages', 'cent', 'votes', 'C', 'D', 'nhttps']","['BJP', 'BJP', 'BJP']",[],[],"['that', 'the', 'A', 'those', 'that', 'the']","['per', 'for', 'under', 'per', 'for', 'with', 'per', 'below', 'for']","['cast', 'will', 'placed', 'cast', 'will', 'will', 'said']",[],[],[],"['be', 'be', 'be']",['while'],village cast cent vote BJP place category cast cent vote BJP category village cent vote BJP say nhttps   ,124,21,2,2,44,68,58,2,2,2,18,9,0.0,0.0,1.0,0.0
2,5cb775c6884ce419f5ec55df,Wed Apr 17 07:13:42 +0000 2019,Deeply saddened that lumpen goons get prefence in @incindia over those who have given their sweat&amp;blood. Having faced brickbats&amp;abuse across board for the party but yet those who threatened me within the party getting away with not even a rap on their knuckles is unfortunate. https://t.co/CrVo1NAvz2,0,1,0,Deeply saddened that lumpen goons get prefence in over those who have given their sweat&amp;blood. Having faced brickbats&amp;abuse across board for the party but yet those who threatened me within the party getting away with not even a rap on their knuckles is unfortunate.,Deeply saddened that lumpen goons get prefence in over those who have given their sweat&amp;blood  Having faced brickbats&amp;abuse across board for the party but yet those who threatened me within the party getting away with not even a rap on their knuckles is unfortunate ,[[]],['@incindia'],"['goons', 'prefence', 'board', 'party', 'party', 'rap', 'knuckles']",[],"['who', 'who', 'me']","['lumpen', 'unfortunate']","['those', 'their', 'the', 'those', 'the', 'a', 'their']","['in', 'over', 'across', 'for', 'within', 'with', 'on']","['saddened', 'get', 'given', 'Having', 'faced', 'threatened', 'getting']","['Deeply', 'yet', 'away', 'even']",[],[],"['have', 'is']",['that'],deeply sadden lumpen goon prefence give sweat&amp;blood have face brickbats&amp;abuse board party threaten party get away rap knuckle unfortunate,67,2,20,25,55,55,72,33,2,2,14,8,0.095,0.182,0.723,-0.7137
3,5cb77649884ce419f5ec5681,Mon Apr 15 11:08:07 +0000 2019,Ever wondered where BJP &amp; its allies get their inspiration from? Their actions might have seen success in a few places but not in our Dravidian Land. Here is a precious chance to oust them from power &amp; to teach them a lesson on real democracy. Vote wisely. #LokSabhaElections2019 https://t.co/xuBfRoTqex,2,1,2,Ever wondered where BJP &amp; its allies get their inspiration from? Their actions might have seen success in a few places but not in our Dravidian Land. Here is a precious chance to oust them from power &amp; to teach them a lesson on real democracy. Vote wisely.,Ever wondered where BJP &amp; its allies get their inspiration from? Their actions might have seen success in a few places but not in our Dravidian Land  Here is a precious chance to oust them from power &amp; to teach them a lesson on real democracy  Vote wisely ,['#LokSabhaElections2019'],[[]],"['allies', 'inspiration', 'actions', 'success', 'places', 'chance', 'lesson', 'democracy', 'Vote']","['BJP', 'amp', 'Dravidian', 'Land', 'power', 'amp']","['them', 'them']","['few', 'precious', 'real']","['its', 'their', 'Their', 'a', 'our', 'a', 'a']","['from', 'in', 'in', 'from', 'on']","['wondered', 'get', 'might', 'seen', 'oust', 'teach']","['Ever', 'where', 'Here', 'wisely']",[],[],"['have', 'is']",[],wonder BJP amp ally inspiration action see success place Dravidian Land precious chance oust power amp teach lesson real democracy vote wisely,98,51,16,27,47,34,53,35,2,2,14,2,0.26,0.0,0.74,0.9413
4,5cb779bb884ce419f5ec5ad5,Wed Apr 17 15:05:29 +0000 2019,To all Delhi pollsters Maharashtra will give you big shock on 23 May.\nPS. Just check any raj saheb's speech every speech have 50 times more views than feku and cm fadnvis.\nAnd Raj addressing daily rally at primetime so all media is booked by him\n#LokSabhaElections2019,2,1,2,To all Delhi pollsters Maharashtra will give you big shock on May.\nPS. Just check any raj saheb's speech every speech have times more views than feku and cm fadnvis.\nAnd Raj addressing daily rally at primetime so all media is booked by him\n,To all Delhi pollsters Maharashtra will give you big shock on May  nPS  Just check any raj saheb's speech every speech have times more views than feku and cm fadnvis  nAnd Raj addressing daily rally at primetime so all media is booked by him n,['#LokSabhaElections2019'],[[]],"['pollsters', 'shock', 'speech', 'speech', 'times', 'views', 'fadnvis', 'rally', 'media']","['Delhi', 'Maharashtra', 'May', 'raj', 'saheb', 'feku', 'cm', 'nAnd', 'Raj', 'primetime']","['you', 'him']","['big', 'more', 'daily']","['all', 'any', 'every', 'all']","['To', 'on', 'at', 'by']","['will', 'give', 'check', 'addressing', 'booked']","['Just', 'so']",[],[],"['have', 'is']",['than'],Delhi pollster Maharashtra big shock nps check raj saheb speech speech time view feku cm fadnvi nAnd Raj address daily rally primetime medium book,89,89,14,24,30,24,49,14,2,2,14,8,0.0,0.057,0.943,-0.3818
5,5cb77d99884ce419f5ec5e8c,Wed Apr 17 07:19:48 +0000 2019,India is the only Country\n\n*Where a Rapist like Nihalchand becomes MP\n\n*Riot accused Sangeet Som becomes MLA\n\n* Babri accused Uma Bharti becomes Union minister \n\n*Terror Acussed Sadhvi will contest election\n\nand the Irony is All the above people are from Nationalist Party BJP,2,1,1,India is the only Country\n\n*Where a Rapist like Nihalchand becomes MP\n\n*Riot accused Sangeet Som becomes MLA\n\n* Babri accused Uma Bharti becomes Union minister \n\n*Terror Acussed Sadhvi will contest election\n\nand the Irony is All the above people are from Nationalist Party BJP,India is the only Country n n*Where a Rapist like Nihalchand becomes MP n n*Riot accused Sangeet Som becomes MLA n n* Babri accused Uma Bharti becomes Union minister  n n*Terror Acussed Sadhvi will contest election n nand the Irony is All the above people are from Nationalist Party BJP,[[]],[[]],"['n', 'Rapist', 'n', 'minister', 'n*Terror', 'election', 'nand', 'people']","['India', 'Country', 'Nihalchand', 'MP', 'n', 'n*Riot', 'Sangeet', 'Som', 'MLA', 'Babri', 'Uma', 'Bharti', 'Union', 'Acussed', 'Sadhvi', 'Irony', 'Nationalist', 'Party', 'BJP']",[],"['only', 'n', 'above']","['the', 'a', 'the', 'All', 'the']","['n', 'from']","['becomes', 'accused', 'becomes', 'accused', 'becomes', 'will', 'contest']",[],[],[],"['is', 'is', 'are']",['like'],India Country n*where rapist like Nihalchand MP n*Riot accuse Sangeet Som MLA Babri accuse Uma Bharti Union minister n*terror Acussed Sadhvi contest election nand Irony people Nationalist Party BJP,74,176,2,22,33,13,74,2,2,2,19,8,0.10300000000000001,0.207,0.69,-0.6486
6,5cb77da1884ce419f5ec5e91,Wed Apr 17 16:08:41 +0000 2019,"For those who think BJP has not done enough for Hindus, don't forget what the Congress has done against Hindus for decades, and will certainly do again if given the opportunity. \nRemember Sadhvi Pragya and the false charges of Hindu terror and Saffron terror!",1,1,1,"For those who think BJP has not done enough for Hindus, don't forget what the Congress has done against Hindus for decades, and will certainly do again if given the opportunity. \nRemember Sadhvi Pragya and the false charges of Hindu terror and Saffron terror!",For those who think BJP has not done enough for Hindus  don't forget what the Congress has done against Hindus for decades  and will certainly do again if given the opportunity   nRemember Sadhvi Pragya and the false charges of Hindu terror and Saffron terror!,[[]],[[]],"['decades', 'opportunity', 'charges', 'terror', 'terror']","['BJP', 'Hindus', 'Congress', 'Hindus', 'nRemember', 'Sadhvi', 'Pragya', 'Hindu', 'Saffron']","['who', 'what']",['false'],"['those', 'the', 'the', 'the']","['For', 'for', 'against', 'for', 'of']","['think', 'done', 'forget', 'done', 'will', 'given']","['enough', 'certainly', 'again']",[],[],"['has', 'do', 'has', 'do']",['if'],think BJP Hindus forget Congress Hindus decade certainly give opportunity    nRemember Sadhvi Pragya false charge Hindu terror Saffron terror,57,92,15,9,30,38,52,32,2,2,26,6,0.127,0.17,0.703,-0.5149
7,5cb78ca4884ce419f5ec6069,Wed Apr 17 10:05:26 +0000 2019,"Excerpts from a documentary by the Wire, that tells the story of the men &amp; women PM Modi used in his made for media, ""washing feet"" event. \n\nUnfortunately, other than the photo op, he had no interest or time for the ""mann ki baat"" of those whose feet he washed. https://t.co/yQzhLCHERc",2,1,2,"Excerpts from a documentary by the Wire, that tells the story of the men &amp; women PM Modi used in his made for media, ""washing feet"" event. \n\nUnfortunately, other than the photo op, he had no interest or time for the ""mann ki baat"" of those whose feet he washed.","Excerpts from a documentary by the Wire  that tells the story of the men &amp; women PM Modi used in his made for media  ""washing feet"" event   n nUnfortunately  other than the photo op  he had no interest or time for the ""mann ki baat"" of those whose feet he washed ",[[]],[[]],"['Excerpts', 'documentary', 'story', 'men', 'women', 'media', 'washing', 'feet', 'event', 'photo', 'op', 'interest', 'time', 'feet']","['Wire', 'amp', 'PM', 'Modi', 'mann', 'ki', 'baat']","['he', 'he']",['other'],"['a', 'the', 'that', 'the', 'the', 'his', 'the', 'no', 'the', 'those', 'whose']","['from', 'by', 'of', 'in', 'for', 'for', 'of']","['tells', 'used', 'made', 'washed']",['nUnfortunately'],[],[],['had'],['than'],excerpt documentary Wire tell story man amp woman PM Modi medium washing foot event    nunfortunately photo op interest time mann ki baat foot wash,132,51,12,9,79,46,35,18,2,2,7,8,0.0,0.047,0.953,-0.35700000000000004
8,5cb78ca4884ce419f5ec6274,Wed Apr 17 17:01:16 +0000 2019,"Vote tomorrow. Dont forget the anger you felt during the resort drama, Jallikattu, Chennai floods &amp; relief work appropriated by Amma stickers...those men are in bed with the lynch mob that just gave a terror blast accused a ticket today. Save democracy. Give them all the finger.",0,1,0,"Vote tomorrow. Dont forget the anger you felt during the resort drama, Jallikattu, Chennai floods &amp; relief work appropriated by Amma stickers...those men are in bed with the lynch mob that just gave a terror blast accused a ticket today. Save democracy. Give them all the finger.",Vote tomorrow  Dont forget the anger you felt during the resort drama  Jallikattu  Chennai floods &amp; relief work appropriated by Amma stickers   those men are in bed with the lynch mob that just gave a terror blast accused a ticket today  Save democracy  Give them all the finger ,[[]],[[]],"['Vote', 'tomorrow', 'anger', 'resort', 'drama', 'floods', 'amp', 'relief', 'work', 'stickers', 'men', 'bed', 'mob', 'terror', 'blast', 'ticket', 'today', 'democracy', 'finger']","['Jallikattu', 'Chennai', 'Amma', 'lynch']","['you', 'them']",[],"['the', 'the', 'those', 'the', 'that', 'a', 'a', 'all', 'the']","['during', 'by', 'in', 'with']","['forget', 'felt', 'appropriated', 'gave', 'accused', 'Save', 'Give']",['just'],[],[],"['Do', 'are']",[],vote tomorrow not forget anger feel resort drama Jallikattu Chennai flood amp relief work appropriate Amma sticker    man bed lynch mob give terror blast accuse ticket today save democracy finger,177,42,15,2,62,30,69,8,2,2,13,2,0.19,0.09699999999999999,0.7120000000000001,0.6558
9,5cb78ca4884ce419f5ec6461,Wed Apr 17 11:42:58 +0000 2019,"Once Ktaka election gets over\nIll be travelling to Madhya Pradesh, just to work for Sadhvi ji\n\nMy entire team of 42 members will work to ensure Sadhvi ji's victory\n\nIt's time to show Digvijay his AUKAAT\nWe will also show how HINDU TERROR looks like\n\nIm coming Sadhvi Ji",1,0,0,"Once Ktaka election gets over\nIll be travelling to Madhya Pradesh, just to work for Sadhvi ji\n\nMy entire team of members will work to ensure Sadhvi ji's victory\n\nIt's time to show Digvijay his AUKAAT\nWe will also show how HINDU TERROR looks like\n\nIm coming Sadhvi Ji",Once Ktaka election gets over nIll be travelling to Madhya Pradesh  just to work for Sadhvi ji n nMy entire team of members will work to ensure Sadhvi ji's victory n nIt's time to show Digvijay his AUKAAT nWe will also show how HINDU TERROR looks like n nIm coming Sadhvi Ji,[[]],[[]],"['election', 'team', 'members', 'time', 'nWe']","['Ktaka', 'nIll', 'Madhya', 'Pradesh', 'Sadhvi', 'n', 'nMy', 'Sadhvi', 'ji', 'victory', 'n', 'nIt', 'Digvijay', 'AUKAAT', 'HINDU', 'TERROR', 'n', 'nIm', 'Sadhvi', 'Ji']",[],['entire'],['his'],"['over', 'to', 'for', 'ji', 'of']","['gets', 'travelling', 'work', 'will', 'work', 'ensure', 'show', 'will', 'show', 'looks', 'coming']","['just', 'also', 'how']",[],[],['be'],"['Once', 'like']",Ktaka election get nIll travel Madhya Pradesh work Sadhvi ji nMy entire team member work ensure Sadhvi ji victory nIt time Digvijay AUKAAT nWe HINDU TERROR look like nIm come Sadhvi Ji,46,168,2,10,7,33,99,23,2,2,6,16,0.052000000000000005,0.083,0.865,-0.368
